CDM,equipe,Goals
 France 2019™ , USA , 26
 France 2019™ , Pays-Bas , 11
 France 2019™ , Suède , 12
 France 2019™ , Angleterre , 13
 Canada 2015™ , USA , 14
 Canada 2015™ , Japon , 9
 Canada 2015™ , Angleterre , 10
 Canada 2015™ , Allemagne , 20
 Allemagne 2011™ , Japon , 12
 Allemagne 2011™ , USA , 12
 Allemagne 2011™ , Suède , 9
 Allemagne 2011™ , France , 10
 Chine 2007™ , Allemagne , 20
 Chine 2007™ , Brésil , 16
 Chine 2007™ , USA , 12
 Chine 2007™ , Norvège , 12
 Etats-Unis 2003™ , Allemagne , 25
 Etats-Unis 2003™ , Suède , 10
 Etats-Unis 2003™ , USA , 15
 Etats-Unis 2003™ , Canada , 10
 Etats-Unis 1999™ , USA , 17
 Etats-Unis 1999™ , RP Chine , 19
 Etats-Unis 1999™ , Brésil , 16
 Etats-Unis 1999™ , Norvège , 15
 Suède 1995™ , Norvège , 23
 Suède 1995™ , Allemagne , 13
 Suède 1995™ , USA , 15
 Suède 1995™ , RP Chine , 11
 Chine RP 1991™ , USA , 25
 Chine RP 1991™ , Norvège , 13
 Chine RP 1991™ , Suède , 17
 Chine RP 1991™ , Allemagne , 13
