Année,Dates de début,Dates de fin,Rang,Equipe
2018,14 juin  , 15 juillet ,Vainqueur,france
2018,14 juin  , 15 juillet ,Deuxième,croatie
2018,14 juin  , 15 juillet ,Troisième,belgique
2018,14 juin  , 15 juillet ,Quatrième,angleterre
2014,12 juin  , 13 juillet ,Vainqueur,allemagne
2014,12 juin  , 13 juillet ,Deuxième,argentine
2014,12 juin  , 13 juillet ,Troisième,pays-bas
2014,12 juin  , 13 juillet ,Quatrième,brésil
2010,11 juin  , 11 juillet ,Vainqueur,espagne
2010,11 juin  , 11 juillet ,Deuxième,pays-bas
2010,11 juin  , 11 juillet ,Troisième,allemagne
2010,11 juin  , 11 juillet ,Quatrième,uruguay
2006,09 juin  , 09 juillet ,Vainqueur,italie
2006,09 juin  , 09 juillet ,Deuxième,france
2006,09 juin  , 09 juillet ,Troisième,allemagne
2006,09 juin  , 09 juillet ,Quatrième,portugal
2002,31 mai  , 30 juin ,Vainqueur,brésil
2002,31 mai  , 30 juin ,Deuxième,allemagne
2002,31 mai  , 30 juin ,Troisième,turquie
2002,31 mai  , 30 juin ,Quatrième,république de corée
1998,10 juin  , 12 juillet ,Vainqueur,france
1998,10 juin  , 12 juillet ,Deuxième,brésil
1998,10 juin  , 12 juillet ,Troisième,croatie
1998,10 juin  , 12 juillet ,Quatrième,pays-bas
1994,17 juin  , 17 juillet ,Vainqueur,brésil
1994,17 juin  , 17 juillet ,Deuxième,italie
1994,17 juin  , 17 juillet ,Troisième,suède
1994,17 juin  , 17 juillet ,Quatrième,bulgarie
1900,08 juin  , 08 juillet ,Vainqueur,république fédérale d'allemagne
1900,08 juin  , 08 juillet ,Deuxième,argentine
1900,08 juin  , 08 juillet ,Troisième,italie
1900,08 juin  , 08 juillet ,Quatrième,angleterre
1986,31 mai  , 29 juin ,Vainqueur,argentine
1986,31 mai  , 29 juin ,Deuxième,république fédérale d'allemagne
1986,31 mai  , 29 juin ,Troisième,france
1986,31 mai  , 29 juin ,Quatrième,belgique
1982,13 juin  , 11 juillet ,Vainqueur,italie
1982,13 juin  , 11 juillet ,Deuxième,république fédérale d'allemagne
1982,13 juin  , 11 juillet ,Troisième,pologne
1982,13 juin  , 11 juillet ,Quatrième,france
1978,01 juin  , 25 juin ,Vainqueur,argentine
1978,01 juin  , 25 juin ,Deuxième,pays-bas
1978,01 juin  , 25 juin ,Troisième,brésil
1978,01 juin  , 25 juin ,Quatrième,italie
1974,13 juin  , 07 juillet ,Vainqueur,république fédérale d'allemagne
1974,13 juin  , 07 juillet ,Deuxième,pays-bas
1974,13 juin  , 07 juillet ,Troisième,pologne
1974,13 juin  , 07 juillet ,Quatrième,brésil
1970,31 mai  , 21 juin ,Vainqueur,brésil
1970,31 mai  , 21 juin ,Deuxième,italie
1970,31 mai  , 21 juin ,Troisième,république fédérale d'allemagne
1970,31 mai  , 21 juin ,Quatrième,uruguay
1966,11 juillet  , 30 juillet ,Vainqueur,angleterre
1966,11 juillet  , 30 juillet ,Deuxième,république fédérale d'allemagne
1966,11 juillet  , 30 juillet ,Troisième,portugal
1966,11 juillet  , 30 juillet ,Quatrième,russia
1962,30 mai  , 17 juin ,Vainqueur,brésil
1962,30 mai  , 17 juin ,Deuxième,république tchèque
1962,30 mai  , 17 juin ,Troisième,chili
1962,30 mai  , 17 juin ,Quatrième,yougoslavie
1958,08 juin  , 29 juin ,Vainqueur,brésil
1958,08 juin  , 29 juin ,Deuxième,suède
1958,08 juin  , 29 juin ,Troisième,france
1958,08 juin  , 29 juin ,Quatrième,république fédérale d'allemagne
1954,16 juin  , 04 juillet ,Vainqueur,république fédérale d'allemagne
1954,16 juin  , 04 juillet ,Deuxième,hongrie
1954,16 juin  , 04 juillet ,Troisième,autriche
1954,16 juin  , 04 juillet ,Quatrième,uruguay
1950,24 juin  , 16 juillet ,Vainqueur,uruguay
1950,24 juin  , 16 juillet ,Deuxième,brésil
1950,24 juin  , 16 juillet ,Troisième,suède
1950,24 juin  , 16 juillet ,Quatrième,espagne
1938,04 juin  , 19 juin ,Vainqueur,italie
1938,04 juin  , 19 juin ,Deuxième,hongrie
1938,04 juin  , 19 juin ,Troisième,brésil
1938,04 juin  , 19 juin ,Quatrième,suède
1934,27 mai  , 10 juin ,Vainqueur,italie
1934,27 mai  , 10 juin ,Deuxième,république tchèque
1934,27 mai  , 10 juin ,Troisième,allemagne
1934,27 mai  , 10 juin ,Quatrième,autriche
1930,13 juillet  , 30 juillet ,Vainqueur,uruguay
1930,13 juillet  , 30 juillet ,Deuxième,argentine
1930,13 juillet  , 30 juillet ,Troisième,usa
1930,13 juillet  , 30 juillet ,Quatrième,yougoslavie
